序號,提案名稱,主提案人,所有提案人,進度,首次排入院會日期.x,會期,提案編號,no,pdf
90,立法院職權行使法第三十七條、第四十三條及第四十四條之一條文修正草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃文玲,1041211   一讀(委員會待審),1011123,08屆02期10次,23委14327,1011119070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\10\LCEWA01_080210_00048.pdf
91,立法院職權行使法部分條文修正草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃文玲,1041211   一讀(委員會待審),1011012,08屆02期04次,23委14009,1011005070200500,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\04\LCEWA01_080204_00061.pdf
92,立法院職權行使法部分條文修正草案,李應元等,李應元  許智傑  蘇震清  鄭麗君  林佳龍  黃偉哲  劉櫂豪  陳亭妃,1011005   一讀(委員會待審),1011005,08屆02期03次,23委13925,1010926070200500,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\03\LCEWA01_080203_00024.pdf
93,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,吳秉叡等,吳秉叡  李昆澤  鄭麗君  蔡其昌  管碧玲  黃偉哲  劉櫂豪  葉宜津,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13784,1010601070201100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00051.pdf
94,立法院職權行使法第二十九條及第三十條條文修正草案,李俊俋等,李俊俋  劉櫂豪  吳秉叡  陳亭妃  管碧玲  葉宜津  蔡其昌  姚文智,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13794,1010601070201800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00052.pdf
95,立法院職權行使法部分條文修正草案,林佳龍等,林佳龍  劉櫂豪  陳亭妃  陳歐珀  黃偉哲  管碧玲  劉建國  許智傑,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13813,1010607070200100,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00053.pdf
96,立法院職權行使法部分條文修正草案,親民黨黨團等,親民黨黨團  李桐豪,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13826,1010611070200400,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00054.pdf
97,立法院職權行使法第七十三條條文修正草案,蘇震清等,蘇震清  陳明文  高志鵬  許智傑  劉櫂豪  陳亭妃  林岱樺  邱志偉  劉建國  陳其邁,1010918   一讀(委員會待審),1010918,08屆02期01次,23委13845,1010903070200300,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\02\01\LCEWA01_080201_00101.pdf
98,立法院職權行使法部分條文修正草案,邱議瑩等,邱議瑩  邱志偉  吳秉叡,1041211   退回程序,1010511,08屆01期11次,23委13515,1010503070202700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\11\LCEWA01_080111_00053.pdf
99,立法院職權行使法第五十四條條文修正草案,邱志偉等,邱志偉  林佳龍  吳秉叡  李昆澤  陳亭妃,1010427   一讀(委員會待審),1010427,08屆01期09次,23委13340,1010417070200800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\09\LCEWA01_080109_00040.pdf
100,立法院職權行使法第七十一條之一條文修正草案,孫大千等,孫大千  林國正,1010427   一讀(委員會待審),1010406,08屆01期06次,23委13166,1010328070200800,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\06\LCEWA01_080106_00018.pdf
101,立法院職權行使法增訂第八條之一及第八條之二條文草案,陳明文等,陳明文  邱議瑩  高志鵬  蘇震清,1010316   一讀(委員會待審),1010316,08屆01期04次,23委12982,1010307070200700,https://ppg.ly.gov.tw/ppg/download/agenda1\02\pdf\08\01\04\LCEWA01_080104_00014.pdf
102,立法院職權行使法增訂第七十五條之一條文草案,黃淑英等,黃淑英  管碧玲,0981225   一讀(委員會待審),0981225,07屆04期15次,23委9450,0981217070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcbcecacfcbc5ccc7c7d2ccc6cf
103,立法院職權行使法第四十四條條文修正草案,高志鵬等,高志鵬  蘇震清  余天  邱議瑩  陳啟昱,0981023   一讀(委員會待審),0981023,07屆04期06次,23委9235,0981009070200900,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?001E8D0C000403010000000000010C800100003D000000000^IMG_lgmeetimage_0^cfc8cfcbcfc9c8cdc5cec6d2cdcf
104,立法院職權行使法第七十一條之一條文修正草案,賴士葆等,賴士葆  費鴻泰  羅淑蕾,0981023   一讀(委員會待審),0980515,07屆03期13次,23委9017,0980506070200600,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?004F6F2900160D010000000000030C800100003D000000000^IMG_lgmeetimage_0^cfc8cfccceccc8cdc5ceccc8d2cecbcf
105,立法院職權行使法第七十一條之一條文修正草案,孫大千,孫大千,0980320   一讀(委員會待審),0980320,07屆03期05次,23委8813,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcccfcac8cdc5c9ced2c9cd
106,立法院職權行使法第四十二條及第四十四條條文修正草案,呂學樟等,呂學樟  江義雄  劉盛良,0990518   三讀,0980106,07屆02期16次,23委8705,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcec9c8cdc5caced2cacb
107,立法院職權行使法第四十四條條文修正草案,蔣孝嚴等,蔣孝嚴  費鴻泰,0990518   三讀,0971205,07屆02期12次,23委8585,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecdcfcbc5cdc6ced2cdc6cc
108,立法院職權行使法部分條文修正草案,黃義交等,黃義交  謝國樑  張嘉郡  劉盛良  李乙廷  江義雄,0980108   委員會,0971128,07屆02期11次,23委8559,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecec8cdc5cdc6d2cbcb
109,立法院職權行使法第六十條條文修正草案,賴士葆,賴士葆,0971128   一讀(委員會待審),0971128,07屆02期11次,23委8566,0971120070200700,https://lis.ly.gov.tw/lylgmeetc/lgmeetkm?004F6F2900100A010000000000020C800100003D000000000^IMG_lgmeetimage_0^cfc8cfcdcecec8cdc5cbcad2cbc7
110,立法院職權行使法部分條文修正草案,朱鳳芝等,朱鳳芝  謝國樑  張碩文,0980108   委員會,0971121,07屆02期10次,23委8545,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcdcecfc8cdc5cecfcad2cecdcd
111,立法院職權行使法部分條文修正草案,張嘉郡,張嘉郡,0980108   委員會,0970716,07屆01期19次,23委8323,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecec6c8cdc5c7ced2c6c9
112,立法院職權行使法增訂第二十六條之一條文草案,呂學樟等,呂學樟  張碩文,0970606   一讀(委員會待審),0970606,07屆01期14次,23委8208,0970602070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececbc8cdc5ceccccd2ceccc9
113,立法院職權行使法第七十一條條文修正草案,吳育昇等,吳育昇  江義雄,0970523   一讀(委員會待審),0970523,07屆01期12次,23委8153,0970515070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececdc8cdc5cecdcad2cecdc9
114,立法院職權行使法第三十條及第三十一條條文修正草案,呂學樟等,呂學樟  張嘉郡  潘維剛,1001214   二讀(廣泛討論),0970516,07屆01期11次,23委8123,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececec8cdc5cececed2cececb
115,立法院職權行使法第二十五條及第二十六條條文修正草案,張顯耀等,張顯耀  費鴻泰  陳秀卿,0970516   一讀(委員會待審),0970516,07屆01期11次,23委8131,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececec8cdc5cececad2cecec7
116,立法院職權行使法第二十六條條文修正草案,黃義交,黃義交,0970602   委員會,0970509,07屆01期10次,23委8096,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcececfc8cdc5cec8ccd2cec8c9
117,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,吳志揚,吳志揚,1001214   二讀(廣泛討論),0970502,07屆01期09次,23委8010,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc6c8cdc5cad2c7
118,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  賴清德  葉宜津,0970612   退回程序,0970425,07屆01期08次,23委7850,0970310070201200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc7c8cdc5cbc8d2cacf
119,立法院職權行使法第七十條條文修正草案,吳清池,吳清池,0990518   三讀,0970422,07屆01期07次,23委7933,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7ccd2cec7cb
120,立法院職權行使法第七十條條文修正草案,賴清德,賴清德,0970422   一讀(委員會待審),0970422,07屆01期07次,23委7955,0970407070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7cad2cec7c9
121,立法院職權行使法增訂部分條文草案,呂學樟等,呂學樟  江義雄,0970509   三讀,0970422,07屆01期07次,23委7953,0970407070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc8c8cdc5cec7c8d2cec6cf
122,立法院職權行使法第七十一條之一條文修正草案,謝國樑,謝國樑,0970408   一讀(委員會待審),0970408,07屆01期06次,23委7898,0970327070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfc9c8cdc5cececcd2cececb
123,立法院職權行使法第七十條及第七十一條之一條文修正草案,丁守中等,丁守中  趙麗雲  吳清池  潘維剛  朱鳳芝  林正二,0970425   三讀,0970307,07屆01期03次,23委7813,0970227070200700,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc8cfcecfcccfcdc5cbc9c9d2cbc9c7
124,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  柯建銘  國民黨黨團  曾永權  郭素春,0961130   二讀(已議決),0961116,06屆06期11次,23委7727,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfc9cecec8cdc5cecfce
125,立法院職權行使法增訂第十二章之一、第七十四條之一及第七十四條之二條文草案,陳金德,陳金德,0961005   一讀(委員會待審),0961005,06屆06期05次,23委7413,0960404070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfc9cfcac8cdc5cbccd2cbcb
126,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  蔡錦隆,0960302   一讀(委員會待審),0960118,06屆04期17次,23委7243,0951221070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcec8c8cdc5c7cdd2c6ca
127,立法院職權行使法第二條及第四條條文修正草案,蔡同榮,蔡同榮,0951212   退回程序,0951212,06屆04期11次,23委7202,0951130070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcecec8cdc5cbc8d2cacf
128,立法院職權行使法刪除第四十二條條文草案,呂學樟等,呂學樟  馮定國  盧秀燕,0951120   委員會,0951020,06屆04期04次,23委7084,0951011070200600,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcfcbc8cdc5c7ced2c7cb
129,立法院職權行使法第二十九條至第三十一條條文修正草案,國民黨黨團等,國民黨黨團  蔡錦隆,0951107   復議（另定期處理）,0951020,06屆04期04次,23委7092,0951012070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcfcbc8cdc5c7cad2c7c7
130,立法院職權行使法第四十二條條文修正草案,吳志揚等,吳志揚  洪秀柱  雷倩,0950929   逕付二讀,0950929,06屆04期02次,23委7034,0950921070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcfcdc8cdc5c9ccd2c9c9
131,立法院職權行使法第三十條及第三十一條條文修正草案,親民黨黨團等,親民黨黨團  呂學樟,0951120   委員會,0950919,06屆04期01次,23委7010,0950609070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcfcec8cdc5cec9ccd2cec9c9
132,立法院職權行使法第四十四條之一條文修正草案,親民黨黨團等,親民黨黨團  呂學樟,0950919   一讀(委員會待審),0950919,06屆04期01次,23委7011,0950609070200300,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcbcfcec8cdc5cec9c8d2cec9c7
133,立法院職權行使法第四十二條及第四十四條條文修正草案,李慶華等,李慶華  李慶安,0951120   委員會,0950519,06屆03期14次,23委6969,0950515070201700,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcccecbcfcec5cec8cbd2cec8ca
134,立法院職權行使法第七十條及第七十一條之一條文修正草案,丁守中等,丁守中  朱鳳芝  雷倩  費鴻泰  劉盛良,0951120   委員會,0950505,06屆03期12次,23委6920,0950427070200400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcccecdcfcec5ceccc8d2ceccc6
135,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,高思博等,高思博  吳志揚  黃偉哲,0951120   委員會,0950407,06屆03期08次,23委6850,0950403070200100,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcccfc7cfcec5cec9c8d2cec9c6
136,立法院職權行使法部分條文修正草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃適卓,0961221   二讀(廣泛討論),0950331,06屆03期07次,23委6818,0950320070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcccfc8cfcec5cecac6d2cec8ce
137,立法院職權行使法第四十四條條文修正草案,親民黨黨團等,親民黨黨團  呂學樟,0951120   委員會,0950317,06屆03期05次,23委6801,0950309070202000,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcccfcacfcec5cecccfd2ceccce
138,立法院職權行使法第三條條文修正草案,鄭運鵬,鄭運鵬,0961221   二讀(廣泛討論),0941216,06屆02期15次,23委6673,0941208070200500,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcecacfcec5c6c9d2c6c7
139,立法院職權行使法第四十四條條文修正草案,黃偉哲等,黃偉哲  陳啟昱  李昆澤  徐國勇,0961221   二讀(廣泛討論),0941028,06屆02期08次,23委6547,0941018070201900,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfc7cfcec5cec6cfd2cec6ce
140,立法院職權行使法第二十九條及第三十條條文修正草案,國民黨黨團等,國民黨黨團  潘維剛,0951120   委員會,0941021,06屆02期07次,23委6526,0941017070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfc8cfcec5cdcbc7d2cdcacd
141,立法院職權行使法增訂第二十六條之一條文草案,呂學樟,呂學樟,0961221   二讀(廣泛討論),0941007,06屆02期05次,23委6448,0940929070201900,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfcacfcec5cdcfced2cdcfcc
142,立法院職權行使法部分條文修正草案,蔡同榮等,蔡同榮  莊和子,0961221   二讀(廣泛討論),0941007,06屆02期05次,23委6154,0940502070200100,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfcacfcec5cdcfcad2cdcece
143,立法院職權行使法第七十一條條文修正草案,鄭運鵬,鄭運鵬,0950113   復議（另定期處理）,0940930,06屆02期04次,23委6402,0940921070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfcbcfcec5c6ccd2c6cb
144,立法院職權行使法部分條文修正草案,親民黨黨團等,親民黨黨團  黃義交,0961221   二讀(廣泛討論),0940930,06屆02期04次,23委6419,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfcbcfcec5c6cad2c6c9
145,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  卓伯源  親民黨黨團  黃義交,0961221   二讀(廣泛討論),0940923,06屆02期03次,23委6395,0940919070201400,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcdcfcccfcec5cdc6ced2cccfca
146,立法院職權行使法第十三條條文修正草案,馮定國等,馮定國  劉憶如,0961221   二讀(廣泛討論),0940513,06屆01期12次,23委6196,0940505070202000,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcececdc8cdc5c8d2cecf
147,立法院職權行使法部分條文修正草案,王幸男,王幸男,0940304   退回程序,0940304,06屆01期02次,23委5805,0940221070200200,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfc9cfcecfcdc8cdc5cec6ccd2cdcfc7
148,立法院職權行使法部分條文修正草案,國民黨黨團等,國民黨黨團  黃德福,0940120   一讀(委員會待審),0940120,05屆06期16次,23委5781,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfc9cec9c8cdc5cdccd2cbce
149,立法院職權行使法增訂第三條之一條文草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  廖本煙,0940114   退回程序,0940114,05屆06期15次,23委5192,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfc9cecac8cdc5cbced2cbc9
150,立法院職權行使法增訂部分條文草案,台灣團結聯盟黨團等,台灣團結聯盟黨團  黃宗源,0940114   退回程序,0940114,05屆06期15次,23委5697,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfc9cecac8cdc5cbc8d2cacf
151,立法院職權行使法第七十一條之一條文修正草案,國民黨黨團等,國民黨黨團  黃德福,0931228   復議（另定期處理）,0931224,05屆06期12次,23委5749,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfc9cecdc8cec5c9c8d2c9c7
152,立法院職權行使法第二十九條、第三十條及第三十一條條文修正草案,國民黨黨團等,國民黨黨團  黃德福,0930917   退回程序,0930917,05屆06期02次,23委5653,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfc9cfcdc8cdc5cecfc8d2cececf
153,立法院職權行使法部分條文修正草案,親民黨黨團等,親民黨黨團  謝章捷,0930610   退回程序,0930610,05屆05期21次,23委5637,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcacecbcfcfc5cccbcdd2cccbcb
154,立法院職權行使法第三十二條條文修正草案,國民黨黨團等,國民黨黨團  曾永權  李嘉進  親民黨黨團  周錫瑋,0930611   復議（另定期處理）,0930109,05屆04期19次,23委5393,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcbcec8cfcfc5cdcdcad2cdcdc8
155,立法院職權行使法部分條文修正草案,王拓等,王拓  羅文嘉  趙永清  吳東昇  王昱婷  李鴻鈞  陳朝龍,0921003   一讀(委員會待審),0921003,05屆04期04次,23委4987,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcbcfcbcfcec5cec6ced2cec6c9
156,立法院職權行使法部分條文修正草案,段宜康等,段宜康  龐建國  吳東昇,0921003   一讀(委員會待審),0921003,05屆04期04次,23委5014,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcbcfcbcfcec5cec6c8d2cec6c6
157,立法院職權行使法第三十條及第三十一條條文修正草案,呂學樟,呂學樟,0920509   一讀(委員會待審),0920314,05屆03期03次,23委4769,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcccfcccfcec5cecbc9d2cecbc6
158,立法院職權行使法第七十一條之一條文修正草案,郭正亮,郭正亮,0920103   退回程序,0920103,05屆02期16次,23委4686,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcdcec9cfcec5cec7c7d2cec6ce
159,立法院職權行使法部分條文修正草案,黃德福等,黃德福  秦慧珠,0910604   一讀(委員會待審),0910604,05屆01期20次,23委4269,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcececacfcec5ceccccd2ceccca
160,立法院職權行使法第三條條文修正草案,蔣孝嚴,蔣孝嚴,0910531   一讀(委員會待審),0910531,05屆01期19次,23委4266,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcececbcfccc5cecdc7d2ceccce
161,立法院職權行使法部分條文修正草案,黃德福等,黃德福  盧秀燕,0910517   一讀(委員會待審),0910517,05屆01期15次,23委4196,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcececdcfcdc5cccbc6d2cccace
162,立法院職權行使法部分條文修正草案,沈智慧,沈智慧,0910510   一讀(委員會待審),0910510,05屆01期13次,23委4154,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecececfcec5cccecbd2cccec6
163,立法院職權行使法增訂第二十六條之一條文草案,呂學樟,呂學樟,0910510   一讀(委員會待審),0910510,05屆01期13次,23委4169,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecececfcec5cbcdc7d2cbcccf
164,立法院職權行使法部分條文修正草案,沈智慧等,沈智慧  蘇盈貴,0910510   一讀(委員會待審),0910510,05屆01期13次,23委4173,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecececfcec5cbcbcbd2cbcbc8
165,立法院職權行使法第四十二條條文修正草案,黃義交等,黃義交  秦慧珠  馮定國  沈智慧,0910521   一讀(委員會待審),0910430,05屆01期11次,23委4008,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecfc6cfccc5cbcfc6d2cbcece
166,立法院職權行使法第二十九條條文修正草案,秦慧珠,秦慧珠,0910423   一讀(委員會待審),0910423,05屆01期10次,23委4020,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecfc7cfccc5c9d2c7
167,立法院職權行使法部分條文修正草案,黃德福等,黃德福  洪秀柱  吳敦義  何智輝  羅志明  朱鳳芝,0910423   一讀(委員會待審),0910416,05屆01期09次,23委3983,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecfc8cfccc5cbc8cbd2cbc7cf
168,立法院職權行使法增訂第三條之一條文草案,陳金德等,陳金德  陳建銘,0910226   一讀(委員會待審),0910226,05屆01期02次,23委3784,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcacfcecfcecfcec5ccc7cad2ccc7c8
169,立法院職權行使法部分條文修正草案,民進黨黨團等,民進黨黨團  林豐喜  國民黨黨團  李正宗  親民黨黨團  周錫瑋  新黨黨團  鄭龍水,,0910111,04屆06期13次,23委3779,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfc9cecccfcfc5cdc9cbd2cdc7cf
170,立法院職權行使法部分條文修正草案,林濁水等,林濁水  沈富雄  陳忠信,,0901204,04屆06期08次,23委3752,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfc9cfc7cfcec5cdcdc6d2cdcbcf
171,立法院職權行使法第十三條條文修正草案,民進黨黨團等,民進黨黨團  沈富雄  林豐喜  親民黨黨團  周錫瑋,,0901030,04屆06期06次,23委3746,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfc9cfc8cfccc5cdcfced2cdcfca
172,立法院職權行使法部分條文修正草案,王幸男等,王幸男  陳其邁,,0900920,04屆06期01次,23委3680,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfc9cfcecfcec5caced2c8cc
173,立法院職權行使法部分條文修正草案,超黨派問政聯盟,超黨派問政聯盟,,0900410,04屆05期08次,23委3537,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcacfcbcfcbc5ccc9cfd2ccc9c8
174,立法院職權行使法部分條文修正草案,劉光華,劉光華,,0900327,04屆05期06次,23委3507,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcacfcbcfcbc5ccc9c7d2ccc8cc
175,立法院職權行使法增訂第十三條之一及第七十五條之一條文草案,黃義交等,黃義交  劉光華  劉文雄  鍾利德  秦慧珠  李炷烽  盧秀燕  江綺雯  洪秀柱  宋煦光,,0891205,04屆04期20次,23委3341,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcececfcec5cecac8d2cecac6
176,立法院職權行使法增訂第四十四條之一條文草案,國民黨黨團等,國民黨黨團  新黨黨團  親民黨黨團  無黨籍聯盟,,0891107,04屆04期12次,23委3293,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcfc7cfcec5c9c9d2c9c8
177,立法院職權行使法部分條文修正草案,國民黨黨團,國民黨黨團,,0891103,04屆04期11次,23委3275,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcfc8cfcdc5cacacbd2cac9cf
178,立法院職權行使法部分條文修正草案,民進黨黨團,民進黨黨團,,0891103,04屆04期11次,23委3277,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcfc8cfcdc5cac9cdd2cac8ce
179,立法院職權行使法增訂部分條文草案,郭榮振,郭榮振,,0891103,04屆04期11次,23委3278,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcfc8cfccc5cccfc9d2cccfc7
180,立法院職權行使法第二十五條條文修正草案,謝言信,謝言信,,0890929,04屆04期05次,23委3194,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcbcfcbcfcfc5cbc7d2cacf
181,立法院職權行使法部分條文修正草案,新黨黨團,新黨黨團,,0890623,04屆03期26次,23委3090,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcccdc9cfcfc5c6cdd2cecfcc
182,立法院職權行使法增訂第三十一條之一條文草案,賴士葆等,賴士葆  郝龍斌  徐少萍,,0890526,04屆03期19次,23委3003,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcccec6cfcfc5cecbcfd2cecbca
183,立法院職權行使法第七十條條文修正草案,王幸男,王幸男,,0890512,04屆03期15次,23委2963,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcccecacfcfc5c7cad2c7c7
184,立法院職權行使法部分條文修正草案,卓榮泰等,卓榮泰  陳學聖,,0881231,04屆02期15次,23委2823,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcdcecccfcfc5cccaccd2cccac9
185,立法院職權行使法部分條文修正草案,林濁水等,林濁水  彭紹瑾,,0881116,04屆02期08次,23委2674,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcdcfc8cfcfc5ccc7c8d2ccc6ce
186,立法院職權行使法部分條文修正草案,新黨黨團,新黨黨團,,0880615,04屆01期16次,23委2546,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecec9cfcac5cdc9ca
187,立法院職權行使法第二十條第四十五條第五十四條條文修正草案,民進黨黨團,民進黨黨團,,0880615,04屆01期16次,23委2547,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecec9cfcdc5cbcecb
188,立法院職權行使法部分條文修正草案,國民黨黨團,國民黨黨團,,0880615,04屆01期16次,23委2542,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecec9cfcdc5cbcdc8
189,立法院職權行使法第二十條條文修正草案,邱太三,邱太三,,0880413,04屆01期07次,23委2412,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecfc8cfcdc5cbcac7d2cbc9cf
190,立法院職權行使法第二十一條條文修正草案,李慶安,李慶安,,0880323,04屆01期04次,23委2383,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecfcbcfcec5cdceced2cdcecc
191,立法院職權行使法部分條文修正草案,陳清寶,陳清寶,,0880323,04屆01期04次,23委2391,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcbcfcecfcbcfcec5ccccc6d2cccbcd
192,立法院職權行使法草案,劉光華,劉光華,,0871229,03屆06期12次,23委2338,,https://lis.ly.gov.tw/lgcgi/lgmeetimage?cfcccfc9cecfcfcec5cbc8c9d2cacbca