提案日期,提案人,議案名稱,最終狀態,檔案連結
2/20,台灣民眾黨黨團,立法院職權行使法部分條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110004170000/details
3/1,國民黨楊瓊瓔等 20 人,立法院職權行使法部分條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110006530000/details
3/8,國民黨翁曉玲等 16 人,立法院職權行使法第十五條之一、第十五條之二及第十五條之四條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110010550000/details
3/8,國民黨翁曉玲等 16 人,立法院職權行使法第十五條、第二十九條及第四十四條條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110010540000/details
3/8,傅崐萁等 52 人,立法院職權行使法部分條文修正草案（第二十九至三十一）,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110010570000/details
3/8,傅崐萁等 52 人,立法院職權行使法第十五條之一、第十五條之二及第十五條之四條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110010580000/details
3/8,傅崐萁等 52 人,立法院職權行使法部分條文修正草案（第四十五至五十九）,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110010560000/details
3/22,翁曉玲等 18 人,立法院職權行使法第二十五條條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110018470000/details
3/22,賴瑞隆等 17 人,立法院職權行使法第十五條之二條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110017320000/details
3/22,吳宗憲等 17 人,立法院職權行使法第十七條條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110017010000/details
3/22,吳宗憲等 18 人,立法院職權行使法第二十五條及第二十六條條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110017000000/details
3/22,吳宗憲等 16 人,立法院職權行使法第十五條之一、第十五條之二及第十五條之四條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110016880000/details
3/22,賴士葆等 20 人,立法院職權行使法增訂部分條文草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110017310000/details
3/22,吳宗憲等 17 人,立法院職權行使法部分條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110016890000/details
3/22,吳宗憲等 16 人,立法院職權行使法第十五條之一、第十五條之二及第十五條之四條文修正草案,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110016880000/details
3/22,（提案日期 3/22）併案審查版,上述併案出委員會的版本,併案出委員會 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/603110035420000/details
4/9,民進黨黨團,立法院職權行使法部分條文修正草案,未能出委員會,https://ppg.ly.gov.tw/ppg/bills/202110028130000/details
5/17,台灣民眾黨黨團,新任總統賴清德至國會報告並接受質詢,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/212110044870000/details
5/17,國民黨黨團,新任總統賴清德至國會報告並接受質詢,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/212110044640000/details
5/17,李彥秀等 17 人,立法院職權行使法第三十一條及第七十一條之一條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110040840000/details
4/9,翁曉玲等 17 人,立法院職權行使法部分條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110027820000/details
4/9,呂玉玲等 17 人,立法院職權行使法第十五條之一條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110027130000/details
4/12,羅智強等 22 人,立法院職權行使法第二十五條條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110029120000/details
4/26,羅智強等 16 人,立法院職權行使法部分條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110033850000/details
4/26,羅智強等 31 人,立法院職權行使法第二十二條、第二十三條及第二十八條條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110033840000/details
4/9,鄭天財 Sra Kacaw 等 19 人,立法院職權行使法部分條文修正草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110027460000/details
4/9,呂玉玲等 16 人,立法院職權行使法增訂第二十八條之三及第二十八條之四條文草案,逕付二讀 > 政黨協商,https://ppg.ly.gov.tw/ppg/bills/202110027140000/details
5/17,國民黨、民眾黨共提,國民黨、民眾黨共提再修正動議,二讀當天提的再修正動議,https://peach-imperial-cuckoo-83.mypinata.cloud/ipfs/QmT3AAFpvBe26hcXDpPys7Ar4FEqf6n599JvHwbaGnmYnb